placename	latitude	longitude
West Bank	44.9719278	-93.2463486
Dura	31.5065977	35.0263669
Hebron	31.528902	35.0944873
Tulkarem	32.3111468	35.0275505
Gaza Strip	-37.7137478	145.0748898
the West Bank	-33.5941667	22.1911111
Israel	30.8124247	34.8594762
Nablus	32.2205316	35.2569374
the Red Sea	20.3336262	38.3223816
the United States	36.1337324	-80.2782636
United Kingdom	54.7023545	-3.2765753
Yemen	16.3471243	47.8915271
Iran	32.6475314	54.5643516
Gaza	-23.328398	32.8066057
US	39.7837304	-100.445882
Sanaa	15.35	44.2
Saudi Arabia	24.217621	44.3222148
Aden	12.789585	45.028504
Tel Aviv	32.0852997	34.7818064
the Gaza Strip	31.5137304	34.4398271
UK	6.3110548	20.5447525
Palestine	31.7621153	-95.6307891
The Red Sea	20.3336262	38.3223816
Africa	11.5024338	17.7578122
Red Sea	20.2965624	38.5343146
Marib	15.4578788	45.3230242
the Middle East	55.4142529	-2.201099
the United Arab Emirates	38.9449546	-77.0692577
Turkey	39.294076	35.2316631
Jordan	44.6663146	-93.6261918
Qatar	25.3336984	51.2295295
UAE	24.0002488	53.9994829
Charleston	32.7884363	-79.9399309
South Carolina	33.6874388	-80.4363743
Gaza City	31.5050311	34.4641381
Doha	25.2856329	51.5264162
Hong Kong	22.350627	114.1849161
South Africa	-28.8166236	24.991639
the State of Palestine	48.8384728	2.2924833
Lebanon	40.375713	-76.4626118
Hague	43.745553	-73.498535
Pretoria	-25.7459277	28.1879101
Uganda	1.5333554	32.2166578
China	35.0000663	104.999955
Russia	64.6863136	97.7453061
The Hague	52.0749456	4.2696802
Kuwait	29.3796532	47.9734174
Gaza’s	-36.1486373	146.913623
Ukraine	49.4871968	31.2718321
Canada	61.0666922	-107.991707
Montreal	45.5031824	-73.5698065
Milton, Ontario	43.513671	-79.882817
Jabalia	31.5282137	34.4831674
Israel’s	32.0807031	34.7745633
Ottawa	45.4208777	-75.6901106
Egypt	26.2540493	29.2675469
Rafah	36.6710572	39.1433096
Toronto	43.6534817	-79.3839347
Calgary	51.0456064	-114.057541
Afghanistan	33.7680065	66.2385139
Austria	47.59397	14.12456
Australia	-24.7761086	134.755
Finland	63.2467777	25.9209164
Germany	51.1638175	10.4478313
Italy	42.6384261	12.674297
Japan	36.5748441	139.2394179
Netherlands	52.2434979	5.6343227
Iceland	64.9841821	-18.1059013
Sweden	59.6749712	14.5208584
Switzerland	46.7985624	8.2319736
Romania	45.9852129	24.6859225
the United Kingdom	52.4577754	-1.8692099
The United States	36.1337324	-80.2782636
Washington, DC	38.8950368	-77.0365427
Jerusalem	31.7788242	35.2257626
Gretna	29.9146493	-90.0539604
Louisiana	30.8703881	-92.007126
New Orleans	29.9759983	-90.0782127
@MirandaCleland	NA	NA
East Jerusalem	-0.2866302	36.1232886
Scotland	56.7861112	-4.1140518
Ireland	52.865196	-7.9794599
Norway	64.5731537	11.5280364
#October7	NA	NA
Syria	34.8147886	38.4231781
Jenin	32.4618837	35.297566
Ramallah	31.8978012	35.1924223
Abwein	32.0361601	35.2021928
Qalqilya	32.1881333	34.9679208
Jericho	40.78743	-73.5434608
U.S.	39.7837304	-100.445882
Yemen’s	-39.8499404	-73.214138
Bahrain	26.1551249	50.5344606
Denmark	55.670249	10.3333283
New Zealand	-41.5000831	172.8344077
South Korea	36.638392	127.6961188
Spain	39.3260685	-4.8379791
France	46.603354	1.8883335
Belgium	50.6402809	4.6667145
Czech Republic	49.7439047	15.3381061
Hungary	47.1817585	19.5060937
Berlin	52.510885	13.3989367
Paris	48.8534951	2.3483915
Slovenia	46.1199444	14.8153333
Brussels	50.8465573	4.351697
@carogennez	NA	NA
Middle East	39.3014159	-76.5888477
Belgium’s	51.2047762	5.2256566
Flanders	51.0962462	4.1786291
Wallonia	50.1545523	5.3992119
Ein al-Hilweh	33.5421771	35.3786005
Basel	47.5581077	7.5878261
Ofer	32.6220894	34.9828033
the Jordan Valley	40.5948139	-111.9717574
Area C	50.3762642	-119.0866413
Kadri’s	19.0406389	72.8407235
al-Jiftlik	32.1438648	35.4970585
Farsiya	NA	NA
Makhoul	33.8235418	35.5351233
Tubas	32.3210552	35.3689104
Areas A	42.4571494	-7.6293469
United States	39.7837304	-100.445882
Beirut	33.8892265	35.5025585
Washington	38.8950368	-77.0365427
Kerman	29.571858	57.301047
the Islamic Republic	32.6475314	54.5643516
Nur Shams	32.3180444	35.059812
Naqoura	33.1182741	35.1298249
Deir el-Balah	31.4183455	34.3502476
Nuseirat	31.4482607	34.3935262
DC	4.2834715	-74.1753606
America	39.7837304	-100.445882
Strip	36.1150486	-115.1729979
West	18.7668687	-72.4387315
Tel Aviv’s	11.4797028	-85.6661002
London	51.5074456	-0.1277653
Tel Israel’s	32.0807031	34.7745633
South Africa’s	-26.4631081	27.7670511
Myanmar	17.1750495	95.9999652
Kuala Lumpur	3.1526589	101.7022205
Malaysia	4.5693754	102.2656823
Indonesia’s	41.8195846	12.4655906
Jakarta	-6.1754049	106.827168
Johannesburg	-26.205	28.049722
Vienna	48.2083537	16.3725042
Amman	31.9515694	35.9239625
Washington DC	38.8950368	-77.0365427
Manchester	53.4794892	-2.2451148
India	22.3511148	78.6677428
Hyderabad	17.360589	78.4740613
Colombo’s Kollupitiya	6.9132442	79.8507859
Farhana	6.0557225	102.3942695
Khan Younis	31.3443293	34.3095897
Abudaqa	NA	NA
Dahiyeh	NA	NA
Beirut’s Shatila	NA	NA
Earth	34.2331373	-102.4107493
Lama Khater	NA	NA
Kiryat Arba	31.5277619	35.1191651
Britain	54.3151594	-1.9181532
the Republic of Yemen	52.5049018	13.3408976
Hodeidah	14.7978677	42.9544872
Saada	17.063405	43.914884
Taiz	13.5752242	44.0215268
Hajjah	16.0	43.25
Europe	51.0	10.0
Asia	51.2086975	89.2343748
Sudan	34.0678644	-102.524362
Iraq	33.0955793	44.1749775
Syria’s Aleppo	36.19924	37.1637253
Mariupol	47.0957648	37.5499621
Dublin	53.3493795	-6.2605593
Moscow	55.625578	37.6063916
the Global South	1.3070909	103.9095869
Beirut’s	33.9335724	35.5993476
Hezbollah’s	NA	NA
Arura	47.2271068	7.7298863
Deir Qaddis	31.9488185	35.0457408
El Arish	31.123641	33.7983521
Hamas’s	9.6307758	-13.5790498
Aizawl	23.7433532	92.7382756
Manipur	24.7208818	93.9229386
Kangpokpi	25.1524326	93.9714932
Mizoram	23.2146169	92.8687612
Mizoram’s	22.5439934	93.0776951
the Kingdom of Judah	NA	NA
the Bnei Menashe	NA	NA
Kolasib	24.1905469	92.7136595
Bethlehem	-1.45056	-48.4682453
Nairoukh	29.5267724	35.007832
Shawawra	31.6919055	35.2663102
Tehran	35.6892523	51.3896004
X.	-32.0967361	-63.7940923
Spain	39.3260685	-4.8379791
Madrid	40.4167047	-3.7035825
Oman	21.0000287	57.0036901
The United Arab Emirates	38.9449546	-77.0692577
Gulf	29.9665252	-85.2175889
The Gaza Strip	31.5137304	34.4398271
Bani Suheila	31.3401107	34.3222778
al-Fukhari	31.281465	34.332429
Damascus	39.2884381	-77.2038717
Baghdad	33.3061701	44.3872213
The Islamic Republic	32.6475314	54.5643516
the Near East	53.357712	-2.1670963
Serbia	44.0243229	21.0765743
Bosnia-Herzegovina	44.3053476	17.5961467
Srebrenica	44.1063188	19.2952783
Algeria	28.0000272	2.9999825
France’s	18.0814066	-63.0467131
the State of Israel	30.8124247	34.8594762
Gaza’s Deir el-Balah	31.4183455	34.3502476
