Name	Latitude	Longitude
Gulf of Aden	12	48
Barcelona	41.38879	2.15899
Great Lakes	26.50687	127.94581
Colombia	4	-73.25
Kangpokpi	25.15114	93.9695
France’s	NA	NA
Belarus	53	28
Iowa	42.00027	-93.50049
Tel Aviv’s	32.08088	34.78057
Libya	28	17
Africa	7.1881	21.09375
Thameen Darby	NA	NA
Malaysia	2.5	112.5
USA	39.76	-98.5
Alborz	36.01117	50.80956
Palestinian Territories	31.92157	35.20329
West Beirut	51.48653	-0.40583
the Via Maris	-34.5652	142.4346
#October7	NA	NA
Israel’s	NA	NA
the Asia-Pacific	51.50828	-0.1652
al-Jiftlik	32.1407	35.48738
the Middle East Eye	-25.58333	20.38333
Ras Issa	34.11528	35.72278
Bab-el-Mandeb strait	12.60416	43.33557
Amman	31.95522	35.94503
Cameroon	6	12.5
China’s	NA	NA
Sabra	34.83042	-1.547
Hungary	47	20
Slovenia	46.08333	15
Morocco’s	NA	NA
Islamabad	33.72148	73.04329
New York’s Ellis Island	29.80929	-89.70759
Gaza	31.50161	34.46672
the Gulf of Oman	40.11286	-74.047
Ashdod	31.79213	34.64966
Khirbet Selm	33.22931	35.42407
Baghdad	33.34058	44.40088
al-Saftawi	29.07694	48.08389
Marib	15.6213	46.0111
al-Ahli	29.07694	48.08389
Silwad	31.97625	35.2613
Kuwait	29.5	47.75
East Beirut	37.02332	-77.36954
Israel’s Haifa	NA	NA
Maghreb	30	5
Munich	48.13743	11.57549
Greece	39	22
Afghanistan	33	66
Akrotiri	36.35796	25.3976
Aroura	38.92219	-111.93409
Harvey	41.61003	-87.64671
Austria	47.33333	13.33333
Mawasi	32.48133	68.85529
Cyprus	35.00304	32.98791
Tel Aviv	32.08088	34.78057
Aizawl	23.72894	92.71791
Maroun El Ras	33.10381	35.4444
Tunisia	34	9
@carogennez	NA	NA
Syria’s	NA	NA
Australia’s	NA	NA
Cape Town	-33.92584	18.42322
Panjgur, Pakistan’s Balochistan province	NA	NA
al-Mazraa Asharqiya	30.50316	47.81507
Sydney	-33.86785	151.20732
Bulgaria	42.66667	25.25
Swaziland	-26.5	31.5
La France	45.20507	5.74629
Area C	-25.55132	-54.61622
Damascus	33.5102	36.29128
Kerman	30.28321	57.07879
Iraq	33	44
Bosnia	44	18
the Islamic Republic of Iran	42.46945	-98.68759
Makhoul	33.40788	37.3558
Washington’s	NA	NA
Anadolu	39	35
Syria’s Golan Heights	36.28562	-92.26543
Sanaa	15.35472	44.20667
the United Kingdom	57.27694	-133.65278
Houthis’	NA	NA
Ansarallah	NA	NA
Egypt’s	NA	NA
the Republic of Yemen	38.889	-77.00525
Hyderabad	17.38405	78.45636
Mizoram’s	NA	NA
Bosnia-Herzegovina	44.25	17.83333
Zurich	47.36667	8.55
The United Kingdom	57.27694	-133.65278
Asia	29.84064	89.29688
Aden	12.77944	45.03667
Uttar Pradesh	27.25	80.75
Kyiv	50.45466	30.5238
South Africa’s	26.5	-81
New York City	40.71427	-74.00597
Srebrenica	44.10748	19.29669
Philadelphi	NA	NA
@azaizamotaz9	NA	NA
@adoniaayebare	NA	NA
South China Sea	51.53782	0.71433
al-Maghazi	30	5
Washington, DC	38.89511	-77.03637
Iran’s	NA	NA
Belgium’s	NA	NA
Romania	46	25
North America	46.07323	-100.54688
Hamra’s	NA	NA
Bab al-Mandeb	12.60416	43.33557
Qatar’s	NA	NA
al-Dabshah	18.05	30.95
Aqaba	29.52667	35.00778
Walla	-2.85662	33.32102
Bani Naim	15.88333	43.78333
New Orleans	29.95465	-90.07507
Pakistan	30	70
Montenegro	42.75	19.25
Kefar Sava	32.175	34.90694
Dena	28.44289	90.28327
Middle Eastern	33.13906	35.85869
Western Sahara	10.01211	105.83224
United States’	39.76	-98.5
Louisiana	31.00047	-92.0004
Ramallah	31.89964	35.20422
East Jerusalem	31.78336	35.23388
Borj el Barajneh	33.84347	35.49874
Rwanda	-2	30
New Zealand	-42	174
Saudi Arabia	25	45
al-Walaja	30.52183	31.29729
Kan	12.00012	8.51672
@RepJayapal	NA	NA
Aleppo	36.20124	37.16117
Israel	31.5	34.75
South Africa	26.5	-81
Dahiyeh	NA	NA
Beit Hanoon	31.5353	34.53579
United States	39.76	-98.5
Norway	62	10
@BasedMikeLee	NA	NA
Haryana’s Panipat	NA	NA
al-Bayda	13.98523	45.57272
Tehran	35.69439	51.42151
Istanbul	41.01384	28.94966
Ahmadiyyah Zawiya	NA	NA
Brussels	50.85045	4.34878
al-Shifa	22.97478	54.19517
The United States	34.31336	-79.63717
Khan Younis	31.34018	34.30627
Haryana	29.25	76.33333
Rehovot	31.89421	34.81199
Calgary	51.05011	-114.08529
Mazzeh	NA	NA
Ohio	40.25034	-83.00018
north📍#Gaza	NA	NA
Ofer	32.62257	34.98302
Santiago	-33.45694	-70.64827
Eastern Mediterranean region	39.42657	41.23464
London	51.50853	-0.12574
Avivim	33.08892	35.47228
Serbia	44.81892	20.45998
Taiz province	13.5	44
Denmark	56	10
West Bank’s	19.38333	-71.21667
al-Mawasi	23.261	57.54
the Bab al-Mandeb Strait	31.24938	-97.53052
Tubas	32.32091	35.36989
Comoros	-12.23333	44.44553
Beirut’s Hamra	32.49724	20.79427
the State of Qatar	-33.21645	146.45597
Arab America	25	45
South Asia	21.28937	78.66211
the Gulf of Aden	-33.21645	146.45597
Yemen’s Red Sea	43.22368	-76.73856
Bern	46.94809	7.44744
America	26.0173	-104.41406
the Persian Gulf	27	51
the United States	34.31336	-79.63717
Estonia	59	26
the Gaza Strip	36.11479	-115.17281
South America	-14.60485	-57.65625
Gaza Strip	31.50161	34.46672
the Jordan River	18.25706	-78.14275
Djibouti	11.83333	42.5
Jabalia	31.5272	34.48347
Southeast Michigan	43.96102	-83.71087
Jarrah	24.05	54.1
MoTaz	NA	NA
Bahaa’s	NA	NA
Berlin	52.52437	13.41053
PA	12.66667	-3.95
Bint Jbeil	33.11944	35.43333
Rohtak	28.89447	76.58917
Oakland	37.80437	-122.2708
Venezuela	8	-66
Beruit	NA	NA
Iowa City	41.66113	-91.53017
the Golan Heights	40.11286	-74.047
Michigan	44.25029	-85.50033
UAE	12.26667	-14.7
Portugal	39.6945	-8.13057
Bani Suheila	31.34337	34.32337
Hormuz	27.5026	54.2839
Beit Nabala	31.5464	34.49514
Finland	64	26
Algeria	28	3
West Jerusalem	31.78199	35.21961
Hague	52.51118	-106.41859
Riyadh	24.68773	46.72185
Bangladesh	24	90
Des Moines	41.60054	-93.60911
Marrakesh	31.63416	-7.99994
Egypt	27	30
the ZIM Ganges	57.27694	-133.65278
Nur Shams	51.1801	71.44598
Britain	54	-2
Crete	35.15585	24.89502
Bureij	31.43944	34.40306
the Islamic Republic	42.72	-71.1925
Malta	35.91667	14.43333
Italy	42.83333	12.83333
Lebanon	33.83333	35.83333
Peru	-10	-75.25
Vietnam	16.16667	107.83333
Geneva	46.20222	6.14569
the Bnei Menashe	40.11286	-74.047
Red Sea	52.26682	-113.802
Iran’s Sistan-Baluchestan province	NA	NA
Abwein	32.03144	35.19992
Indonesia’s	NA	NA
Hodeidah province	20.75	-75.91667
Czech Republic	49.75	15
the Western Sahara	-33.21645	146.45597
al-Tawil’s	13.41667	34.63333
Saada	16.94021	43.76393
the Arabian Sea	57.05838	-3.7259
West	42.77268	-116.9579
Montreal	45.50884	-73.58781
al-Karama	26.22787	50.58565
al-Fukhari	31.29278	34.33061
Somalia	6	48
Hebron	31.52935	35.0938
Bahaa el-Din Abu Ras	32.32973	62.08171
Spain	40	-4
Abudaqa	NA	NA
@Benarasiyaa	NA	NA
Africa’s Cape of Good Hope	42.3601	-71.06588
Beit Shemesh	31.73072	34.99293
South Africansfrom	38.02807	-97.94033
Strip	-27.51667	27.05
Melbourne, Australia	-37.814	144.96332
the Bab-el-Mandeb Strait	31.24938	-97.53052
Nairoukh	NA	NA
Deir al-Balah	31.41834	34.34933
South Sudan	7.5	30
Ireland	53	-8
Supernova	NA	NA
Jerusalem	31.76904	35.21633
Hodeidah	14.79781	42.95452
Yemen’s southern coast	NA	NA
India	22	79
Taiz	13.57952	44.02091
Mozambique	-18.25	35
Cairo	30.06263	31.24967
the West Bank	-10.42172	105.67912
Gaza‘s	NA	NA
Miraj	16.8671	74.70146
Farhana	NA	NA
al-Mazra’a	26.22787	50.58565
Jordan’s	NA	NA
the Indian Ocean	57.05838	-3.7259
Nir Am	31.51959	34.58006
Hebrew	NA	NA
Entebbe, Uganda	0.05621	32.47949
Balakhiyah	NA	NA
Dahiyeb	NA	NA
Gretna	41.14083	-96.23974
Switzerland	47.00016	8.01427
Lake Michigan	44.00778	-86.75698
the Red Sea	-20.03085	45.695
Rask	29.49114	57.18543
the Cape of Good Hope	37.00724	-75.98329
Rawaa’s	NA	NA
